Velocidad [RPM];Aceleracion [V_Acc]; Voltaje[V];Corriente[A];Temperatura[°C];Latitud;Longitud;Velocidad[GPS: km/h];Satelites; Altitud; Hora; Minutos; Year
0;0.28;44.62333824;0.86198664;102.1133125;0;0;0;0;0;0;0;0
0;0.28;44.61959498;0.86208435;94.73472282;0;0;0;0;0;0;0;0
0;0.28;44.62956215;0.89007104;117.2329674;0;0;0;0;0;0;0;0
0;0.28;44.67730355;0.86251706;112.8885981;0;0;0;0;0;0;0;0
0;0.27;44.66008753;0.86380124;111.2970705;0;0;0;0;0;0;0;0
0;0.28;44.65460633;0.85990683;119.0905332;0;0;0;0;0;0;0;0
0;0.28;44.69937689;0.85523075;118.5154264;0;0;0;0;0;0;0;0
0;0.28;44.67454067;0.8864558;116.5278897;0;0;0;0;0;0;0;0
0;0.28;44.69970368;0.8639129;118.7170242;0;0;0;0;0;0;0;0
0;0.28;44.70641778;0.85478408;118.9167833;0;0;0;0;0;0;0;0
0;0.28;44.70396684;0.86924503;104.0802244;0;0;0;0;0;0;0;0
0;0.28;44.71855366;0.86766773;110.1860788;0;0;0;0;0;0;0;0
0;0.28;44.71045813;0.85280198;114.0096256;0;0;0;0;0;0;0;0
0;0.28;44.68305213;0.87152026;113.6079305;0;0;0;0;0;0;0;0
0;0.28;44.70418965;0.84886569;114.2212019;0;0;0;0;0;0;0;0
0;0.28;44.76475023;0.85083383;119.923841;0;0;0;0;0;0;0;0
0;0.28;44.7639481;0.85807827;119.5862655;0;0;0;0;0;0;0;0
0;0.28;44.74552889;0.86310331;98.19286027;0;0;0;0;0;0;0;0
0;0.27;44.75288172;0.87537279;93.79373985;0;0;0;0;0;0;0;0
0;0.28;44.76781019;0.8582039;111.295757;0;0;0;0;0;0;0;0
0;0.28;44.75222814;0.88411078;100.3370429;0;0;0;0;0;0;0;0
0;0.28;44.76121493;0.86501562;93.39854307;0;0;0;0;0;0;0;0
0;0.28;44.76862717;0.85516095;96.07048335;0;0;0;0;0;0;0;0
